figure_id,role,path,sha256,bytes,modified_at
A.3,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/a_3_datos_usados.csv,281d85a83a3f8218b2ee6281592c1089f43cc2743d7d39cecb19e9514bb516d5,993,2026-09-15T19:24:39+00:00
A.3,texto_generado,build/text/a_3.md,75d97c5e37fb1635b0b295c3f2db1e24e26910f97fdf3ed650aa776829e4d76a,359,2026-09-15T19:24:39+00:00
A.3,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/a_3_parrafo.md,75d97c5e37fb1635b0b295c3f2db1e24e26910f97fdf3ed650aa776829e4d76a,359,2026-09-15T19:24:39+00:00
A.3,grafica,build/figures/A/figura_a_3.png,19ded913ea7ed3266ba7d018c5ab846c7e912863de6bf55f08162ef993cf8a9d,229522,2026-09-15T19:24:39+00:00
A.3,metadatos,build/metadata/a_3.json,a7c01ab2193ec2dfc9b8d2144b81186ca8a024db1998f0fd5ae28d5ae67666c4,787,2026-09-15T19:24:39+00:00
A.4,dato_crudo,data/raw/crt_bit_todo_2025_q2/objects/f75ce7de02249b11d35b/CRT_BIT_TODO.zip,f75ce7de02249b11d35bed3399f7f06558f9e7a18cc9b320180acbe96027d284,1188168847,2026-09-09T22:17:06+00:00
A.4,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/a_4_datos_usados.csv,a1195e2c828976231f9d5fab16f891b2a08e1af8e66b75270c63b6fcc2c362fd,2318,2026-09-15T19:24:40+00:00
A.4,texto_generado,build/text/a_4.md,1c3e79138d398a348061cbdf72bfa651ef5d5db65d4b3eb54d13f2795b662b28,250,2026-09-15T19:24:40+00:00
A.4,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/a_4_parrafo.md,1c3e79138d398a348061cbdf72bfa651ef5d5db65d4b3eb54d13f2795b662b28,250,2026-09-15T19:24:40+00:00
A.4,grafica,build/figures/A/figura_a_4.png,a6991a00f761c302f35813d4d79e8dd59d22400dfa0637afead3d7693b9b7f88,206816,2026-09-15T19:24:41+00:00
A.4,metadatos,build/metadata/a_4.json,f254aa26e5c9160413f2883b363996d82b34fa19c1a1f9a73f5d892f6c971f66,873,2026-09-15T19:24:41+00:00
A.5,dato_crudo_manual,data/manual/A.5/2026_2T_Flujos_TI_AC_3.xlsx,b455e2d8b4b2a6e7631f46a9f736266c73fc5af2440a075103a1d0348595706a,547284,2026-09-08T19:22:33+00:00
A.5,dato_crudo_manual,data/manual/A.5/Datos_originales_y_actualizacion__1_.xlsx,f6e7c157e5a417e40756cce4ff605b04c67e6673ad3390cc07d66e1e782d6586,175785,2026-09-08T19:22:30+00:00
A.5,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/a_5_datos_usados.csv,f1823caf7c8c555a4643251e6673ab56b489077fd75bab76974e5f64d46d70c9,1212,2026-09-15T19:24:56+00:00
A.5,texto_generado,build/text/a_5.md,69a313ca73d7b5b8e0ee282a023c9d8aae59be55a66724ce241da1dcaeaefef6,349,2026-09-15T19:24:56+00:00
A.5,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/a_5_parrafo.md,69a313ca73d7b5b8e0ee282a023c9d8aae59be55a66724ce241da1dcaeaefef6,349,2026-09-15T19:24:56+00:00
A.5,grafica,build/figures/A/figura_a_5.png,152fabb24b69c8bd6494e373dd996ea820fc8ecfa0d0bb30a3fa5cf4b03f1df6,209893,2026-09-15T19:24:56+00:00
A.5,metadatos,build/metadata/a_5.json,42232c5a5d7147d9a471cd26faf1ff3b9da809ed8b8975ca4ee6d30ead56cc68,874,2026-09-15T19:24:56+00:00
A.6,dato_crudo,data/raw/crt_bit_todo_2025_q2/objects/f75ce7de02249b11d35b/CRT_BIT_TODO.zip,f75ce7de02249b11d35bed3399f7f06558f9e7a18cc9b320180acbe96027d284,1188168847,2026-09-09T22:17:06+00:00
A.6,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/a_6_datos_usados.csv,c33ac633f13f9027e16635d412d2cecdff69340b7d75a780bd4bf89e262c9ce8,2228,2026-09-15T19:24:58+00:00
A.6,texto_generado,build/text/a_6.md,7c48b5901d7af4e90d56f5244ee98937332d17605725d1e34e171aaa53341064,332,2026-09-15T19:24:58+00:00
A.6,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/a_6_parrafo.md,7c48b5901d7af4e90d56f5244ee98937332d17605725d1e34e171aaa53341064,332,2026-09-15T19:24:58+00:00
A.6,grafica,build/figures/A/figura_a_6.png,41cf624720459ca1cf21bd7bab7f95d63f09f7327e509be225c662b4d66ca329,241449,2026-09-15T19:24:58+00:00
A.6,metadatos,build/metadata/a_6.json,d818ee61ea7cdf9851d9098d40d2115c1083bc0286b6dcd51f815d0014a83567,1018,2026-09-15T19:24:58+00:00
A.7,dato_crudo,data/raw/inegi_enigh_2024/objects/7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d/enigh_2024_ns_csv.zip,7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d,103139139,2026-09-10T05:33:41+00:00
