figure_id,source_id,owner,title,expected_period,detected_period,period_assessment,landing_page,exact_url,local_path,sha256,bytes,downloaded_at,source_last_modified,content_type,cache_status,verification_status
A.2,inegi_enoe_2023_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2023-T2,2023-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_2023_trim2_csv.zip,data\raw\inegi_enoe_a2\enoe_2023_trim2_csv.zip,e2035d3a3e3d0789ee10fac875c792c5833fc90f7e1ccb9345e0690dd8c40eb5,39500761,2026-08-31T22:23:39+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2023_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2023-T4,2023-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_2023_trim4_csv.zip,data\raw\inegi_enoe_a2\enoe_2023_trim4_csv.zip,24f15e1ab8ad942b479b32f491b9e2d8b640ac3c8e79dbea02e74baa78ae9d2e,40681812,2026-08-31T22:23:40+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2024_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2024-T2,2024-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_2024_trim2_csv.zip,data\raw\inegi_enoe_a2\enoe_2024_trim2_csv.zip,13922f8902f587939145e0302ec8e6e5fa9fb0df4207229f7447deaaab96e285,31773308,2026-08-31T22:23:40+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2024_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2024-T4,2024-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_2024_trim4_csv.zip,data\raw\inegi_enoe_a2\enoe_2024_trim4_csv.zip,817f28d20a43fa4fed08195e62df58bf320b31c323a3049fe09b5194a1677305,43410469,2026-08-31T22:23:41+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2025_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2025-T2,2025-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_2025_trim2_csv.zip,data\raw\inegi_enoe_a2\enoe_2025_trim2_csv.zip,291db61afcc472a0933d2bebf46720cfd024df8912dc899d541d8109bd406722,38752236,2026-09-09T20:24:43+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2025_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2025-T4,2025-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_2025_trim4_csv.zip,data\raw\inegi_enoe_a2\enoe_2025_trim4_csv.zip,e675b41bde4fb3c183a0abd067738109c6aaf30ed314bc9fc548669fb8a1565d,43383478,2026-09-09T20:25:37+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2026_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2026-T2,2026-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_2026_trim2_csv.zip,data\raw\inegi_enoe_a2\enoe_2026_trim2_csv.zip,020811fa989a3e4e3e0daae39b32df6bb055f3ca59653b76ecc454f9b231d91e,35213597,2026-09-09T20:26:26+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.3,inegi_inpc_dynamic,INEGI,"INPC e índice de la división Comunicaciones, serie previa a 2024",2024-07,2024-07,AL_DIA,https://www.inegi.org.mx/programas/inpc/2018a/,https://www.inegi.org.mx/app/indicesdeprecios/Estructura.aspx?idEstructura=112001300090&T=%C3%8Dndices+de+Precios+al+Consumidor&ST=Clasi,data\raw\inegi_inpc_dynamic\objects\f883f3859247e8509bae82527a1ac108bbff457a48e3f31ac56a3d43b3e9131c\inpc_ipcom_hasta_2024.csv,f883f3859247e8509bae82527a1ac108bbff457a48e3f31ac56a3d43b3e9131c,49405,2026-09-09T21:53:26+00:00,,text/csv,REUTILIZADO,VERIFICADO
A.3,inegi_inpc_current_2026_07_reference,INEGI,"INPC mensual y principales componentes, actualización 2024",2026-07,2026-08,AL_DIA,https://www.inegi.org.mx/programas/inpc/2018a/,https://www.inegi.org.mx/contenidos/programas/inpc/2018a/datosabiertos/conjunto_de_datos_inpc_indicador_mensual_csv.zip,data\raw\inegi_inpc_current_2026_07_reference\objects\5d75d854deb25a0e901d\conjunto_de_datos_inpc_indicador_mensual_csv.zip,5d75d854deb25a0e901def5adb4430eadb44cc253ff86bf39734efc9185144c1,34591,2026-09-09T21:53:59+00:00,,,REUTILIZADO,VERIFICADO
A.4,crt_bit_todo_2025_q2,"Comisión Reguladora de Telecomunicaciones (CRT), archivo BIT del IFT",BIT: descarga global de datos públicos,según la tabla,2024,AL_DIA,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml,https://bit.crt.gob.mx/descargas/datos/tabs/TODO.zip,data\raw\crt_bit_todo_2025_q2\objects\f75ce7de02249b11d35b\CRT_BIT_TODO.zip,f75ce7de02249b11d35bed3399f7f06558f9e7a18cc9b320180acbe96027d284,1188168847,2026-09-09T22:17:06+00:00,"Thu, 11 Jun 2026 03:33:17 GMT",application/zip,REUTILIZADO,VERIFICADO
